> -L"Circle"
-158.252289163	-82.7079853463
-158.895965899	-82.4536835194
-159.772328727	-82.2130384034
-160.847248416	-81.989968042
-162.089560227	-81.7878394818
-163.470953634	-81.6095126239
-164.965683413	-81.4573775186
-166.550195071	-81.3333846656
-168.202717984	-81.2390687008
-169.902854096	-81.1755661699
-171.63117435	-81.1436281183
-173.36882565	-81.1436281183
-175.097145904	-81.1755661699
-176.797282016	-81.2390687008
-178.449804929	-81.3333846656
179.965683413	-81.4573775186
178.470953634	-81.6095126239
177.089560227	-81.7878394818
175.847248416	-81.989968042
174.772328727	-82.2130384034
173.895965899	-82.4536835194
173.252289163	-82.7079853463
172.878172394	-82.9714265821
172.812452994	-83.2388432739
173.094263931	-83.5043888083
173.760072321	-83.7615277393
174.839019188	-84.0030883951
176.346365332	-84.2214140308
178.275432716	-84.4086573118
-179.41052416	-84.5572510957
-176.78381942	-84.6605474595
-173.951834425	-84.7135448466
-171.048165575	-84.7135448466
-168.21618058	-84.6605474595
-165.58947584	-84.5572510957
-163.275432716	-84.4086573118
-161.346365332	-84.2214140308
-159.839019188	-84.0030883951
-158.760072321	-83.7615277393
-158.094263931	-83.5043888083
-157.812452994	-83.2388432739
-157.878172394	-82.9714265821
-158.252289163	-82.7079853463
> -L"center point"
-172.5	-82.93
