> -L"Circle"
-68.6153468081	-79.5146934285
-68.9626394168	-79.2548703692
-69.4934548033	-79.0067129085
-70.1863903581	-78.7748212249
-71.0201422388	-78.5632479795
-71.9738987825	-78.3755039517
-73.0275339355	-78.2145686007
-74.161659783	-78.0829022104
-75.3575833702	-77.982457579
-76.5972007314	-77.914690092
-77.8628512964	-77.8805655647
-79.1371487036	-77.8805655647
-80.4027992686	-77.914690092
-81.6424166298	-77.982457579
-82.838340217	-78.0829022104
-83.9724660645	-78.2145686007
-85.0261012175	-78.3755039517
-85.9798577612	-78.5632479795
-86.8136096419	-78.7748212249
-87.5065451967	-79.0067129085
-88.0373605832	-79.2548703692
-88.3846531919	-79.5146934285
-88.5275870786	-79.7810388575
-88.4469090864	-80.0482424856
-88.126385232	-80.3101692175
-87.5546882454	-80.5603037649
-86.7276828804	-80.7918961676
-85.6509153724	-80.9981744266
-84.3419273747	-81.1726296998
-82.8318318966	-81.3093659778
-81.1655040414	-81.4034866809
-79.3998653868	-81.4514698258
-77.6001346132	-81.4514698258
-75.8344959586	-81.4034866809
-74.1681681034	-81.3093659778
-72.6580726253	-81.1726296998
-71.3490846276	-80.9981744266
-70.2723171196	-80.7918961676
-69.4453117546	-80.5603037649
-68.873614768	-80.3101692175
-68.5530909136	-80.0482424856
-68.4724129214	-79.7810388575
-68.6153468081	-79.5146934285
> -L"center point"
-78.5	-79.667
